Claim_Probability,Predicted_Severity,Risk_Based_Premium
0.0,18593.936,0.0
0.0,4390.1655,0.0
0.0,5283.0044,0.0
0.0,9155.603,0.0
0.0,25420.793,0.0
0.0,4389.3022,0.0
0.0,3363.004,0.0
0.0,4216.178,0.0
0.0,5700.2837,0.0
0.0,4476.996,0.0
0.0,63957.6,0.0
0.0,3129.1694,0.0
0.0,40460.918,0.0
0.0,-1230.4875,-0.0
0.0,57898.18,0.0
0.0,36013.72,0.0
0.002,9535.637,23.839091796875
0.0,25292.848,0.0
0.0,4000.2136,0.0
0.0,6865.2393,0.0
0.0,20043.252,0.0
0.0,2501.1763,0.0
0.0,29358.668,0.0
0.0,45792.363,0.0
0.0,29505.412,0.0
0.0,528.2547,0.0
0.0,24811.994,0.0
0.0,81164.516,0.0
0.0,2016.6531,0.0
0.0,3020.644,0.0
0.0,39582.465,0.0
0.0,2205.1301,0.0
0.0,2148.4106,0.0
0.0,24636.953,0.0
0.0,3959.2224,0.0
0.0,30851.904,0.0
0.0,6187.86,0.0
0.0,11662.177,0.0
0.0,24763.09,0.0
0.0,3534.151,0.0
0.0,-249.97856,-0.0
0.0,14920.203,0.0
0.0,28526.355,0.0
0.0,44974.117,0.0
0.0,4039.6648,0.0
0.0,4337.4316,0.0
0.0,5906.316,0.0
0.0,1751.3317,0.0
0.0,26367.984,0.0
0.0,3626.1133,0.0
0.0,6264.6377,0.0
0.0,6657.3135,0.0
0.0,55621.746,0.0
0.0,49701.543,0.0
0.0,1202.9532,0.0
0.0,9061.881,0.0
0.0,62867.95,0.0
0.0,2613.138,0.0
0.0,4753.726,0.0
0.0,19542.53,0.0
0.0,766.9167,0.0
0.0,7362.045,0.0
0.0,2592.5073,0.0
0.0,32034.852,0.0
0.0,25140.691,0.0
0.0,28824.416,0.0
0.0,45989.91,0.0
0.0,60964.9,0.0
0.0,16255.929,0.0
0.0,23623.754,0.0
0.0,4495.3496,0.0
0.0,2165.4937,0.0
0.0,898.25244,0.0
0.15093911643911645,7837.0146,1478.6400831944613
0.0,-749.281,-0.0
0.0,1764.2218,0.0
0.0,5672.7646,0.0
0.0,6113.1343,0.0
0.0,45641.688,0.0
0.0,1222.0713,0.0
0.0,9680.658,0.0
0.0,22062.275,0.0
0.0,6810.8906,0.0
0.0,58114.05,0.0
0.0,-1489.59,-0.0
0.0,5313.128,0.0
0.0,4549.1694,0.0
0.0,3783.1487,0.0
0.0,29819.264,0.0
0.0,62198.996,0.0
0.0,41207.234,0.0
0.0,5306.012,0.0
0.0,2670.809,0.0
0.0,40673.54,0.0
0.0,3197.4287,0.0
0.0,17599.326,0.0
0.0,223.25497,0.0
0.0,3109.5693,0.0
0.0,2690.7014,0.0
0.0,4197.6274,0.0
0.0,24351.803,0.0
0.0,29049.037,0.0
0.0,5637.0103,0.0
0.0,4474.385,0.0
0.0,1229.6699,0.0
0.0,32200.336,0.0
0.0,3756.5994,0.0
0.0,20182.414,0.0
0.0,6795.543,0.0
0.0,53490.566,0.0
0.0,2144.6487,0.0
0.0,42670.48,0.0
0.0,25367.947,0.0
0.0,5675.081,0.0
0.0,6504.4805,0.0
0.0,4201.3677,0.0
0.0,3966.8018,0.0
0.10379310232251408,5721.491,742.3141533677511
0.0,7485.953,0.0
0.0,65518.926,0.0
0.0,24411.852,0.0
0.0,1291.9838,0.0
0.0,4767.593,0.0
0.0,83737.82,0.0
0.0,84836.164,0.0
0.0,5353.7974,0.0
0.0,76771.58,0.0
0.0,47871.816,0.0
0.0,55815.535,0.0
0.0,1024.5322,0.0
0.0,295017.53,0.0
0.0,2090.3035,0.0
0.0,4248.5713,0.0
0.0,2900.7615,0.0
0.0,24672.504,0.0
0.0,1133.924,0.0
0.0,24057.734,0.0
0.0,1186.122,0.0
0.0,1711.1334,0.0
0.0,4208.1704,0.0
0.0,2446.9075,0.0
0.0,4119.0957,0.0
0.0,-2136.0498,-0.0
0.0,61228.4,0.0
0.0,3076.1807,0.0
0.0,47042.53,0.0
0.0,5634.0503,0.0
0.0,2761.6401,0.0
0.0,4468.225,0.0
0.0,3576.186,0.0
0.0,30016.197,0.0
0.0,4230.5054,0.0
0.0,4200.7817,0.0
0.0,1098.3153,0.0
0.0,29634.578,0.0
0.0,8538.115,0.0
0.0,14564.726,0.0
0.0,84836.164,0.0
0.0,39590.05,0.0
0.0,4640.637,0.0
0.0,2037.971,0.0
0.0,6030.592,0.0
0.0,21170.998,0.0
0.0,3101.0417,0.0
0.0,2081.4993,0.0
0.0,3247.4421,0.0
0.0,2109.8154,0.0
0.0,6508.0503,0.0
0.0,54427.324,0.0
0.0,38252.703,0.0
0.0,25310.99,0.0
0.0,3067.0376,0.0
0.0,5191.7134,0.0
0.0,2374.5417,0.0
0.0,1861.2063,0.0
0.0,28002.426,0.0
0.0,4748.2935,0.0
0.0,2477.8557,0.0
0.0,45353.25,0.0
0.0,32980.535,0.0
0.0,3116.8638,0.0
0.0,33276.465,0.0
0.0,6205.439,0.0
0.0,32716.523,0.0
0.0,42675.387,0.0
0.0,3977.9,0.0
0.0,2827.9734,0.0
0.0,6838.8193,0.0
0.0,4979.995,0.0
0.0,4159.9326,0.0
0.0,21113.54,0.0
0.0,-913.94305,-0.0
0.0,4460.8677,0.0
0.0,-1508.3844,-0.0
0.0,79634.445,0.0
0.0,8225.464,0.0
0.0,24419.654,0.0
0.0,23914.137,0.0
0.0,2022.1478,0.0
0.0,43197.816,0.0
0.0,28035.436,0.0
0.0,3440.3362,0.0
0.0,65766.61,0.0
0.0,4860.768,0.0
0.0,33496.684,0.0
0.0,6455.763,0.0
0.0,3242.0205,0.0
0.0,4604.3403,0.0
0.0,47591.117,0.0
0.0,42299.32,0.0
0.0,-3040.7405,-0.0
0.0,4278.692,0.0
0.0,5253.0264,0.0
0.0,35756.125,0.0
0.0,26526.283,0.0
0.0,61710.09,0.0
0.0,5518.209,0.0
0.0,16129.338,0.0
0.0,4296.5815,0.0
0.0,36060.117,0.0
0.0,38612.32,0.0
0.0,-1474.9365,-0.0
0.0,2694.2368,0.0
